id,country,league,start_season_date,end_season_date,round,path,disp_valid_flg,register_id,register_time,update_id,update_time
23,イングランド,EFL チャンピオンシップ - プレーオフ,2025-01-01 00:00:00+09,2025-12-30 00:00:00+09,46,https://www.flashscore.co.jp/soccer/england/championship/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
24,イングランド,EFL リーグ 1 - プレーオフ,2025-02-01 00:00:00+09,2025-12-30 00:00:00+09,46,https://www.flashscore.co.jp/soccer/england/league-one/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
25,イングランド,ﾁｬﾝﾋﾟｵﾝｼｯﾌﾟ｜女子,2025-11-01 00:00:00+09,2025-12-21 00:00:00+09,22,https://www.flashscore.co.jp/soccer/england/wsl-2/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
26,ウガンダ,プレミアリーグ,2025-01-15 00:00:00+09,2025-12-18 00:00:00+09,15,https://www.flashscore.co.jp/soccer/uganda/premier-league/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
27,ウクライナ,プレミアリーグ - 降格戦,2025-02-22 00:00:00+09,2025-12-14 00:00:00+09,30,https://www.flashscore.co.jp/soccer/ukraine/premier-league/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
28,エクアドル,リーガ・プロ - 第2ステージ,2025-09-15 00:00:00+09,2025-09-29 00:00:00+09,30,https://www.flashscore.co.jp/soccer/ecuador/liga-pro/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
29,エストニア,メスタリリーガ - 降格戦,2025-02-28 00:00:00+09,2025-08-11 00:00:00+09,36,https://www.flashscore.co.jp/soccer/estonia/meistriliiga/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
30,エストニア,メスタリリーガ｜女子 - チャンピオンシップグループ,2025-09-14 00:00:00+09,2026-05-10 00:00:00+09,21,https://www.flashscore.co.jp/soccer/estonia/meistriliiga-women/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
31,オーストラリア,A リーグ・メン,2025-01-01 00:00:00+09,2025-12-31 00:00:00+09,26,https://www.flashscore.co.jp/soccer/australia/a-league/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
32,オランダ,エールディビジ - カンファレンスリーグ：プレーオフ,2025-10-01 00:00:00+09,2025-12-22 00:00:00+09,34,https://www.flashscore.co.jp/soccer/netherlands/eredivisie/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
33,オランダ,エールディビジ｜女子,2025-01-18 00:00:00+09,2025-12-22 00:00:00+09,22,https://www.flashscore.co.jp/soccer/netherlands/eredivisie-women/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
34,ケニア,プレミアリーグ - 降格戦,2025-09-01 00:00:00+09,2025-12-22 00:00:00+09,29,https://www.flashscore.co.jp/soccer/kenya/premier-league/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
35,コスタリカ,リーガ FPD - アペルトゥラ：プレーオフ,2025-09-15 00:00:00+09,2025-11-24 00:00:00+09,18,https://www.flashscore.co.jp/soccer/costa-rica/primera-division/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
36,コスタリカ,リーガ・デ・アセンソ - アペルトゥラ：プレーオフ,2025-12-01 00:00:00+09,2026-11-17 00:00:00+09,18,https://www.flashscore.co.jp/soccer/costa-rica/liga-de-ascenso/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
37,コロンビア,プリメーラ A - アペルトゥーラ：クアルドラングラル,2025-09-15 00:00:00+09,2026-04-11 00:00:00+09,19,https://www.flashscore.co.jp/soccer/colombia/primera-a/fixtures/,0,bm_user,2025-10-01 13:48:21+09,bm_user,2025-10-01 13:48:21+09
